Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Price;Guests Included;Extra People;Minimum Nights;Number of Reviews;Review Scores Rating;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;City
Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;55.0;1;0;4;9;93.0;10.0;10.0;10.0;10.0;9.0;moderate;Madrid
Apartment;Entire home/apt;6;1.0;2.0;8.0;Real Bed;99.0;6;20;3;14;80.0;6.0;8.0;9.0;9.0;8.0;flexible;Santanyí
Apartment;Private room;2;2.0;1.0;1.0;Real Bed;78.0;2;20;1;80;94.0;9.0;9.0;10.0;10.0;10.0;flexible;Barcelona
Apartment;Private room;1;1.0;1.0;1.0;Real Bed;60.0;1;0;1;0;;;;;;;flexible;Madrid
Apartment;Private room;1;1.0;1.0;1.0;Real Bed;19.0;1;0;2;2;100.0;10.0;10.0;10.0;10.0;10.0;strict;Madrid
Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;190.0;1;0;2;0;;;;;;;flexible;Barcelona
Apartment;Private room;2;1.0;1.0;2.0;Real Bed;25.0;1;0;1;27;81.0;9.0;8.0;9.0;7.0;8.0;flexible;Madrid
Apartment;Entire home/apt;6;2.0;2.0;1.0;Real Bed;108.0;2;11;4;21;86.0;8.0;9.0;9.0;10.0;8.0;moderate;Madrid
Apartment;Private room;2;3.0;1.0;1.0;Real Bed;25.0;1;5;10;0;;;;;;;strict;Madrid
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;50.0;1;0;4;3;100.0;9.0;9.0;10.0;10.0;9.0;moderate;Madrid
Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;40.0;1;0;3;1;100.0;8.0;10.0;10.0;10.0;8.0;strict;Madrid
Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;75.0;2;15;3;6;87.0;10.0;9.0;10.0;10.0;9.0;moderate;Madrid
Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;63.0;2;13;3;6;97.0;9.0;10.0;10.0;10.0;10.0;moderate;Madrid
Apartment;Entire home/apt;8;1.0;2.0;5.0;Real Bed;50.0;2;5;1;165;89.0;8.0;9.0;10.0;9.0;9.0;strict;Madrid
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;32.0;1;0;4;10;80.0;9.0;9.0;9.0;9.0;8.0;moderate;Madrid
House;Private room;2;2.0;1.0;1.0;Real Bed;37.0;1;9;3;4;100.0;10.0;10.0;10.0;10.0;10.0;flexible;Madrid
Apartment;Entire home/apt;6;1.0;2.0;3.0;Real Bed;71.0;4;10;7;0;;;;;;;moderate;Madrid
Dorm;Shared room;3;0.0;1.0;3.0;Real Bed;18.0;1;0;1;0;;;;;;;flexible;Madrid
Townhouse;Private room;1;1.0;1.0;1.0;Real Bed;50.0;1;0;10;0;;;;;;;flexible;Brussel
Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;55.0;1;0;3;7;100.0;10.0;10.0;10.0;9.0;10.0;moderate;Madrid
Apartment;Private room;4;2.0;1.0;2.0;Futon;25.0;2;10;2;85;82.0;8.0;9.0;8.0;10.0;9.0;strict;Madrid
Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;100.0;2;0;3;56;95.0;10.0;10.0;10.0;10.0;9.0;strict;Madrid
Apartment;Entire home/apt;4;1.0;2.0;3.0;Real Bed;140.0;4;0;2;143;91.0;10.0;9.0;9.0;10.0;9.0;strict;Madrid
Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;51.0;1;0;5;0;;;;;;;flexible;Madrid
House;Entire home/apt;3;1.0;2.0;2.0;Real Bed;80.0;3;10;1;4;95.0;10.0;9.0;8.0;10.0;10.0;flexible;Madrid
Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;72.0;2;7;2;20;93.0;9.0;9.0;9.0;10.0;9.0;strict;Madrid
Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;75.0;3;25;2;17;94.0;10.0;9.0;10.0;10.0;10.0;moderate;Madrid
Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;60.0;1;0;1;0;;;;;;;flexible;Paris
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;19.0;2;19;1;33;87.0;9.0;9.0;9.0;9.0;9.0;strict;Madrid
Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;119.0;5;20;1;0;;;;;;;strict;Madrid
Apartment;Private room;2;;1.0;1.0;Real Bed;285.0;1;0;1;1;;;;;;;flexible;Madrid
Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;79.0;1;0;3;50;95.0;10.0;10.0;10.0;10.0;10.0;moderate;Madrid
Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;80.0;2;15;2;6;87.0;9.0;10.0;10.0;10.0;9.0;moderate;Madrid
Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;114.0;2;15;2;0;;;;;;;flexible;Madrid
Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;32.0;1;0;7;0;;;;;;;strict;Madrid
House;Private room;2;1.5;1.0;1.0;Real Bed;27.0;1;7;1;11;93.0;9.0;10.0;10.0;9.0;9.0;strict;Manchester
Apartment;Private room;1;2.0;1.0;1.0;Real Bed;36.0;1;0;7;0;;;;;;;strict;Madrid
Apartment;Entire home/apt;5;1.0;2.0;4.0;Real Bed;75.0;2;20;1;123;95.0;10.0;10.0;10.0;10.0;9.0;moderate;Madrid
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;35.0;1;0;1;0;;;;;;;flexible;Madrid
Bed & Breakfast;Private room;2;1.0;1.0;2.0;Real Bed;40.0;1;0;2;112;97.0;10.0;10.0;10.0;10.0;10.0;flexible;Madrid
Other;Entire home/apt;4;1.0;1.0;1.0;Real Bed;60.0;1;0;1;14;78.0;8.0;9.0;9.0;10.0;8.0;strict;Madrid
